Execution Number,Crime Type,Sentiment Score,Cluster Label
261,,0.0,"1 (drug, burglary, fraud)"
262,,0.9801,"1 (drug, burglary, fraud)"
263,,0.9878,"1 (drug, burglary, fraud)"
265,,0.0,"1 (drug, burglary, fraud)"
266,,0.9423,"1 (drug, burglary, fraud)"
267,,0.9925,"1 (drug, burglary, fraud)"
268,,0.9931,"1 (drug, burglary, fraud)"
269,,0.9954,"1 (drug, burglary, fraud)"
27,,0.0,"1 (drug, burglary, fraud)"
270,,-0.9812,"1 (drug, burglary, fraud)"
271,,0.2023,"1 (drug, burglary, fraud)"
272,,0.0,"1 (drug, burglary, fraud)"
273,,0.6486,"1 (drug, burglary, fraud)"
274,,0.5258,"1 (drug, burglary, fraud)"
275,,0.5003,"1 (drug, burglary, fraud)"
276,,0.8481,"1 (drug, burglary, fraud)"
277,,0.9979,"1 (drug, burglary, fraud)"
278,,0.9769,"1 (drug, burglary, fraud)"
279,,0.9241,"1 (drug, burglary, fraud)"
28,,0.0,"1 (drug, burglary, fraud)"
280,,0.9622,"1 (drug, burglary, fraud)"
281,,0.0,"1 (drug, burglary, fraud)"
282,,0.8175,"1 (drug, burglary, fraud)"
283,,0.9954,"1 (drug, burglary, fraud)"
284,,0.9325,"1 (drug, burglary, fraud)"
285,,0.6908,"1 (drug, burglary, fraud)"
286,,-0.9935,"1 (drug, burglary, fraud)"
287,,-0.9681,"1 (drug, burglary, fraud)"
288,,0.0,"1 (drug, burglary, fraud)"
289,,0.9422,"1 (drug, burglary, fraud)"
29,,0.0,"1 (drug, burglary, fraud)"
290,,0.9697,"1 (drug, burglary, fraud)"
291,,0.0,"1 (drug, burglary, fraud)"
293,,0.8658,"1 (drug, burglary, fraud)"
294,,0.9784,"1 (drug, burglary, fraud)"
295,,0.8555,"1 (drug, burglary, fraud)"
296,,0.0,"1 (drug, burglary, fraud)"
297,,0.9933,"1 (drug, burglary, fraud)"
298,,0.9906,"1 (drug, burglary, fraud)"
30,,0.9231,"1 (drug, burglary, fraud)"
300,,0.9814,"1 (drug, burglary, fraud)"
302,,0.9856,"1 (drug, burglary, fraud)"
303,,0.0,"1 (drug, burglary, fraud)"
304,,0.98,"1 (drug, burglary, fraud)"
305,,0.8555,"1 (drug, burglary, fraud)"
306,,0.9983,"1 (drug, burglary, fraud)"
307,,0.0,"1 (drug, burglary, fraud)"
308,,0.9741,"1 (drug, burglary, fraud)"
309,,0.9871,"1 (drug, burglary, fraud)"
31,,0.0,"1 (drug, burglary, fraud)"
310,,0.9868,"1 (drug, burglary, fraud)"
311,,0.0,"1 (drug, burglary, fraud)"
312,,0.9773,"1 (drug, burglary, fraud)"
313,,0.99,"1 (drug, burglary, fraud)"
314,,0.0,"1 (drug, burglary, fraud)"
315,assault,0.9886,4 (assault)
316,,0.9767,"1 (drug, burglary, fraud)"
317,,0.6258,"1 (drug, burglary, fraud)"
318,,-0.5158,"1 (drug, burglary, fraud)"
319,,0.0,"1 (drug, burglary, fraud)"
32,,0.7506,"1 (drug, burglary, fraud)"
320,,0.3425,"1 (drug, burglary, fraud)"
321,,0.9826,"1 (drug, burglary, fraud)"
323,,0.9186,"1 (drug, burglary, fraud)"
324,,0.976,"1 (drug, burglary, fraud)"
325,,0.9892,"1 (drug, burglary, fraud)"
326,,0.9854,"1 (drug, burglary, fraud)"
327,,0.9859,"1 (drug, burglary, fraud)"
328,,0.1779,"1 (drug, burglary, fraud)"
329,,0.9493,"1 (drug, burglary, fraud)"
33,,-0.5719,"1 (drug, burglary, fraud)"
330,,0.9951,"1 (drug, burglary, fraud)"
331,,0.9969,"1 (drug, burglary, fraud)"
332,,0.0,"1 (drug, burglary, fraud)"
333,,0.9788,"1 (drug, burglary, fraud)"
334,murder,0.9517,2 (murder)
335,,0.9907,"1 (drug, burglary, fraud)"
337,,0.891,"1 (drug, burglary, fraud)"
339,,0.8979,"1 (drug, burglary, fraud)"
34,,0.6808,"1 (drug, burglary, fraud)"
340,,0.9709,"1 (drug, burglary, fraud)"
341,,-0.296,"1 (drug, burglary, fraud)"
342,,0.9934,"1 (drug, burglary, fraud)"
344,,0.9001,"1 (drug, burglary, fraud)"
345,,0.9738,"1 (drug, burglary, fraud)"
347,murder,0.0772,2 (murder)
348,,0.0,"1 (drug, burglary, fraud)"
349,,0.0,"1 (drug, burglary, fraud)"
35,,0.5994,"1 (drug, burglary, fraud)"
350,,0.9937,"1 (drug, burglary, fraud)"
351,,0.993,"1 (drug, burglary, fraud)"
352,,0.8846,"1 (drug, burglary, fraud)"
353,assault,0.9423,4 (assault)
354,,0.9136,"1 (drug, burglary, fraud)"
356,,0.0,"1 (drug, burglary, fraud)"
357,,0.995,"1 (drug, burglary, fraud)"
358,,0.9758,"1 (drug, burglary, fraud)"
36,,0.0,"1 (drug, burglary, fraud)"
360,,0.9812,"1 (drug, burglary, fraud)"
361,,0.9702,"1 (drug, burglary, fraud)"
362,,0.9855,"1 (drug, burglary, fraud)"
363,,0.9844,"1 (drug, burglary, fraud)"
364,,-0.2277,"1 (drug, burglary, fraud)"
365,murder,0.9574,2 (murder)
366,,0.9909,"1 (drug, burglary, fraud)"
367,,0.9939,"1 (drug, burglary, fraud)"
368,,0.0772,"1 (drug, burglary, fraud)"
37,,-0.6597,"1 (drug, burglary, fraud)"
370,,0.984,"1 (drug, burglary, fraud)"
371,,0.9042,"1 (drug, burglary, fraud)"
372,,0.986,"1 (drug, burglary, fraud)"
373,assault,0.9955,4 (assault)
375,murder,0.9928,2 (murder)
377,,0.0,"1 (drug, burglary, fraud)"
378,,0.9806,"1 (drug, burglary, fraud)"
379,,0.9623,"1 (drug, burglary, fraud)"
38,,0.3612,"1 (drug, burglary, fraud)"
380,,0.8788,"1 (drug, burglary, fraud)"
381,,0.9636,"1 (drug, burglary, fraud)"
382,,0.0,"1 (drug, burglary, fraud)"
385,,0.0,"1 (drug, burglary, fraud)"
386,,0.9861,"1 (drug, burglary, fraud)"
388,,0.9737,"1 (drug, burglary, fraud)"
389,murder,0.86,2 (murder)
39,,0.5994,"1 (drug, burglary, fraud)"
390,murder,0.875,2 (murder)
391,,0.0,"1 (drug, burglary, fraud)"
393,murder,0.0,2 (murder)
394,,0.0,"1 (drug, burglary, fraud)"
395,,0.9636,"1 (drug, burglary, fraud)"
396,,0.5574,"1 (drug, burglary, fraud)"
